#addr	size	name	source	provenance
0x80033e88	376	GsTMDfastTNG3	main	-
0x80034000	348	GsTMDfastTG3NL	main	-
0x8003415c	436	GsTMDfastTG3L	main	-
0x80034310	436	GsTMDfastTG3LFG	main	-
0x800344c8	444	GsTMDfastTNG4	main	-
0x80034684	408	GsTMDfastTG4NL	main	-
0x8003481c	524	GsTMDfastTG4L	main	-
0x80034a28	524	GsTMDfastTG4LFG	main	-
0x8003c6d8	172	_patch_gte	main	-
0x8003c7c8	164	VSync	main	-
0x8003c86c	192	VSYNC_OBJ_A4	main	-
0x8003c940	136	VSYNC_OBJ_178	main	-
0x8003ca78	52	VSyncCallback	main	-
0x8003cb7c	216	INTR_OBJ_194	main	-
0x8003cc54	420	INTR_OBJ_26C	main	-
0x8003cdf8	44	INTR_OBJ_410	main	-
0x8003ce24	176	INTR_OBJ_43C	main	-
0x8003ced4	152	INTR_OBJ_4EC	main	-
0x8003cf6c	160	INTR_OBJ_584	main	-
0x8003d00c	104	INTR_OBJ_624	main	-
0x8003d0f8	60	setjmp	main	-
0x8003d134	60	longjmp	main	-
0x8003d178	88	startIntrVSync	main	-
0x8003d1d0	108	INTR_VB_OBJ_58	main	-
0x8003d23c	44	INTR_VB_OBJ_C4	main	-
0x8003d298	76	startIntrDMA	main	-
0x8003d2e4	384	INTR_DMA_OBJ_4C	main	-
0x8003d464	164	INTR_DMA_OBJ_1CC	main	-
0x8003d568	232	LoadTPage	main	-
0x8003d718	180	SetDefDrawEnv	main	-
0x8003d7cc	60	SetDefDispEnv	main	-
0x8003d808	64	SetDumpFnt	main	-
0x8003d848	160	FntLoad	main	-
0x8003d8e8	696	FntOpen	main	-
0x8003dba0	796	FntFlush	main	-
0x8003debc	960	FntPrint	main	-
0x8003e288	372	ResetGraph	main	-
0x8003e3fc	92	SetGraphDebug	main	-
0x8003e458	164	SetGraphQueue	main	-
0x8003e50c	96	DrawSyncCallback	main	-
0x8003e56c	152	SetDispMask	main	-
0x8003e604	104	DrawSync	main	-
0x8003e66c	284	init_GsImage_storage_	main	-
0x8003e788	144	ClearImage	main	-
0x8003e818	152	ClearImage2	main	-
0x8003e970	184	MoveImage	main	-
0x8003ea28	200	ClearOTag	main	-
0x8003eaf0	172	ClearOTagR	main	-
0x8003eb9c	92	DrawPrim	main	-
0x8003ebf8	112	DrawOTag	main	-
0x8003ec68	192	PutDrawEnv	main	-
0x8003ed28	216	DrawOTagEnv	main	-
0x8003ee34	1272	PutDispEnv	main	-
0x8003f360	48	GetODE	main	-
0x8003f390	56	SetTexWindow	main	-
0x8003f3c8	128	SetDrawArea	main	-
0x8003f448	64	SetDrawOffset	main	-
0x8003f488	40	SetPriority	main	-
0x8003f4b0	40	SetDrawStp	main	-
0x8003f4d8	84	SetDrawMode	main	-
0x8003f52c	504	SetDrawEnv	main	-
0x8003f724	624	FUN_8007f070	main	-
0x8003f994	32	FUN_8007f2e0	main	-
0x8003fb00	128	FUN_8007f44c	main	-
0x8003fb98	224	FUN_8007f4e4	main	-
0x8003fc78	560	FUN_8007f5c4	main	-
0x8003fea8	572	load_image_data_into_registers_	main	-
0x800400e4	640	image_size_and_mem_to_gpu_	main	-
0x80040364	36	FUN_8007fcb0	main	-
0x8004039c	64	FUN_8007fce8	main	-
0x800403dc	72	FUN_8007fd28	main	-
0x80040424	48	FUN_8007fd70	main	-
0x80040454	36	FUN_8007fda0	main	-
0x80040478	688	load_image_into_gpu_with_dma_	main	-
0x80040728	608	FUN_80080074	main	-
0x80040988	336	FUN_800802d4	main	-
0x80040ad8	316	draw_sync_	main	-
0x80040c14	52	FUN_80080560	main	-
0x80040c48	324	FUN_80080594	main	-
0x80040d8c	160	FUN_800806d8	main	-
0x80041004	324	MoveImage2	main	-
0x80041148	252	DrawOTag2	main	-
0x80041244	40	FUN_80080b90	main	-
0x8004126c	36	FUN_80080bb8	main	-
0x800412a8	60	GetTPage	main	-
0x80041308	60	AddPrim	main	-
0x80041368	40	SetSemiTrans	main	-
0x80041418	52	DecDCTReset	demo	ghidra
0x8004144c	140	DecDCTGetEnv	demo	ghidra
0x800414d8	152	DecDCTPutEnv	demo	ghidra
0x8004157c	124	DecDCTin	demo	ghidra
0x80041618	60	DecDCTinSync	demo	ghidra
0x80041654	60	DecDCToutSync	demo	ghidra
0x80041e28	172	DecDCTvlcBuild	demo	ghidra
0x80041ed4	56	BUILD_OBJ_AC	demo	ghidra
0x80041f18	44	MemCardInit	main	-
0x80041f64	80	MemCardStart	main	-
0x80041fb4	64	MemCardStop	main	-
0x8004205c	468	FUN_80080f28	main	-
0x80042298	564	FUN_80081164	main	-
0x800424cc	392	MemCardOpen	main	-
0x80042654	68	MemCardClose	main	-
0x80042750	316	FUN_8008161c	main	-
0x80042944	316	FUN_80081810	main	-
0x80042ec0	608	MemCardGetDirentry	main	-
0x80043134	284	MemCardSync	main	-
0x80043250	520	MemCardCreateFile	main	-
0x80043458	444	MemCardDeleteFile	main	-
0x80043614	140	MemCardFormat	main	-
0x800436a0	180	MemCardUnformat	main	-
0x80043754	84	FUN_80082620	main	-
0x800437a8	132	FUN_80082674	main	-
0x8004382c	92	FUN_800826f8	main	-
0x800438f8	208	firstfile	main	-
0x800439c8	144	FIRST_OBJ_D0	main	-
0x80043a94	192	FIRST_OBJ_19C	main	-
0x80043b54	64	FIRST_OBJ_25C	main	-
0x80043be8	52	_card_clear	main	-
0x80043c38	108	UserFuncOpen	main	-
0x80043cb4	108	UserFuncExecute	main	-
0x80043dd8	48	_card_open	main	-
