#addr	size	name	source	provenance
0x8003a654	316	GsTMDfastNF3	main	-
0x8003a790	320	GsTMDfastF3NL	main	-
0x8003a8d0	328	GsTMDfastF3L	main	-
0x8003aa18	328	GsTMDfastF3LFG	main	-
0x8003ab64	360	GsTMDfastNF4	main	-
0x8003accc	364	GsTMDfastF4NL	main	-
0x8003ae38	376	GsTMDfastF4L	main	-
0x8003afb0	376	GsTMDfastF4LFG	main	-
0x8003b134	328	GsTMDfastNG3	main	-
0x8003b27c	320	GsTMDfastG3NL	main	-
0x8003b3bc	400	GsTMDfastG3L	main	-
0x8003b54c	400	GsTMDfastG3LFG	main	-
0x8003b6e4	384	GsTMDfastNG4	main	-
0x8003b864	372	GsTMDfastG4NL	main	-
0x8003b9d8	480	GsTMDfastG4L	main	-
0x8003bbb8	480	GsTMDfastG4LFG	main	-
0x8003bda4	364	GsTMDfastTNF3	main	-
0x8003bf10	356	GsTMDfastTF3NL	main	-
0x8003c074	368	GsTMDfastTF3L	main	-
0x8003c1e4	368	GsTMDfastTF3LFG	main	-
0x8003c354	416	GsTMDfastTNF4	main	-
0x8003c4f4	412	GsTMDfastTF4NL	main	-
0x8003c690	428	GsTMDfastTF4L	main	-
0x8003c83c	428	GsTMDfastTF4LFG	main	-
0x8003c9f4	376	GsTMDfastTNG3	main	-
0x8003cb6c	348	GsTMDfastTG3NL	main	-
0x8003ccc8	436	GsTMDfastTG3L	main	-
0x8003ce7c	436	GsTMDfastTG3LFG	main	-
0x8003d034	444	GsTMDfastTNG4	main	-
0x8003d1f0	408	GsTMDfastTG4NL	main	-
0x8003d388	524	GsTMDfastTG4L	main	-
0x8003d594	524	GsTMDfastTG4LFG	main	-
0x80045244	172	_patch_gte	main	-
0x80045334	164	VSync	main	-
0x800453d8	192	VSYNC_OBJ_A4	main	-
0x800454ac	136	VSYNC_OBJ_178	main	-
0x800455e4	52	VSyncCallback	main	-
0x800456e8	216	INTR_OBJ_194	main	-
0x800457c0	420	INTR_OBJ_26C	main	-
0x80045964	44	INTR_OBJ_410	main	-
0x80045990	176	INTR_OBJ_43C	main	-
0x80045a40	152	INTR_OBJ_4EC	main	-
0x80045ad8	160	INTR_OBJ_584	main	-
0x80045b78	104	INTR_OBJ_624	main	-
0x80045c74	88	startIntrVSync	main	-
0x80045ccc	108	INTR_VB_OBJ_58	main	-
0x80045d38	44	INTR_VB_OBJ_C4	main	-
0x80045d94	76	startIntrDMA	main	-
0x80045de0	384	INTR_DMA_OBJ_4C	main	-
