#addr	size	name
0x8003d23c	44	INTR_VB_OBJ_C4
0x8003d268	48	FUN_8003d268
0x8003d298	76	startIntrDMA
0x8003d2e4	384	INTR_DMA_OBJ_4C
0x8003d464	172	INTR_DMA_OBJ_1CC
0x8003d510	60	FUN_8003d510
0x8003d54c	28	FUN_8003d54c
0x8003d568	332	LoadTPage
0x8003d6b4	100	FUN_8003d6b4
0x8003d718	180	SetDefDrawEnv
0x8003d7cc	60	SetDefDispEnv
0x8003d808	64	SetDumpFnt
0x8003d848	160	FntLoad
0x8003d8e8	696	FntOpen
0x8003dba0	796	FntFlush
0x8003debc	972	FntPrint
0x8003e288	372	ResetGraph
0x8003e3fc	92	SetGraphDebug
0x8003e458	180	SetGraphQueue
0x8003e50c	96	DrawSyncCallback
0x8003e56c	152	SetDispMask
0x8003e604	104	DrawSync
0x8003e66c	284	init_GsImage_storage_
0x8003e788	144	ClearImage
0x8003e818	152	ClearImage2
0x8003e8b0	96	FUN_8003e8b0
0x8003e910	96	FUN_8003e910
0x8003e970	184	MoveImage
0x8003ea28	200	ClearOTag
0x8003eaf0	172	ClearOTagR
0x8003eb9c	92	DrawPrim
0x8003ebf8	112	DrawOTag
0x8003ec68	192	PutDrawEnv
0x8003ed28	216	DrawOTagEnv
0x8003ee00	52	FUN_8003ee00
0x8003ee34	1272	PutDispEnv
0x8003f32c	52	FUN_8003f32c
0x8003f360	48	GetODE
0x8003f390	56	SetTexWindow
0x8003f3c8	128	SetDrawArea
0x8003f448	64	SetDrawOffset
0x8003f488	40	SetPriority
0x8003f4b0	40	SetDrawStp
0x8003f4d8	84	SetDrawMode
0x8003f52c	504	SetDrawEnv
0x8003f724	624	FUN_8003f724
0x8003f994	32	FUN_8003f994
0x8003f9b4	152	FUN_8003f9b4
0x8003fa4c	152	FUN_8003fa4c
0x8003fae4	28	FUN_8003fae4
0x8003fb00	152	FUN_8003fb00
0x8003fb98	224	FUN_8003fb98
0x8003fc78	560	FUN_8003fc78
0x8003fea8	572	load_image_data_into_registers_
0x800400e4	640	image_size_and_mem_to_gpu_
0x80040364	56	FUN_80040364
0x8004039c	64	FUN_8004039c
0x800403dc	72	FUN_800403dc
0x80040424	48	FUN_80040424
0x80040454	36	FUN_80040454
0x80040478	688	load_image_into_gpu_with_dma_
0x80040728	608	FUN_80040728
0x80040988	336	FUN_80040988
0x80040ad8	316	draw_sync_
0x80040c14	52	FUN_80040c14
0x80040c48	324	FUN_80040c48
0x80040d8c	632	FUN_80040d8c
0x80041004	324	MoveImage2
0x80041148	252	DrawOTag2
0x80041244	40	FUN_80041244
0x8004126c	44	FUN_8004126c
0x80041298	16	FUN_80041298
0x800412a8	64	GetTPage
0x800412e8	32	FUN_800412e8
0x80041308	64	AddPrim
0x80041348	32	FUN_80041348
0x80041368	48	SetSemiTrans
0x80041398	32	FUN_80041398
0x800413b8	32	FUN_800413b8
0x800413d8	32	FUN_800413d8
0x800413f8	32	FUN_800413f8
0x80041418	52	DecDCTReset
0x8004144c	140	DecDCTGetEnv
0x800414d8	164	DecDCTPutEnv
0x8004157c	124	DecDCTin
0x800415f8	32	FUN_800415f8
0x80041618	60	DecDCTinSync
0x80041654	96	DecDCToutSync
0x800416b4	36	FUN_800416b4
0x800416d8	240	FUN_800416d8
0x800417c8	144	FUN_800417c8
0x80041858	140	FUN_80041858
0x800418e4	148	FUN_800418e4
0x80041978	148	FUN_80041978
